"X","journal","year","title","fname_first","lname_first","fname_last","lname_last","affiliation","article_type","middle_authors","abstract","fname_first_trunc","fname_last_trunc","gender_first","p_first","n_first","gender_last","p_last","n_last"
9262,"Nature reviews. Neuroscience",2014,"Cell biology of the neuron: epidermal cells eat up dendrites.","Katherine","Whalley","","","","Comment","[]","False","Katherine","","female",1,1413,NA,NA,NA
5370,"Nature reviews. Neuroscience",2016,"Neurodegenerative disease: Forming fragments.","Fiona","Carr","","","","Comment","[]","False","Fiona","","female",1,926,NA,NA,NA
5371,"Nature reviews. Neuroscience",2016,"Neuronal circuits: Patch work in the striatum.","Katherine","Whalley","","","","Comment","[]","False","Katherine","","female",1,1413,NA,NA,NA
6495,"Nature reviews. Neuroscience",2016,"Keep off the grass? Cannabis, cognition and addiction.","H Valerie","Curran","Loren H","Parsons","Clinical Psychopharmacology Unit, University College London, Gower Street, London WC1E 6BT, UK.","Journal Article","['Tom P', 'Claire', 'David A', 'Celia J A']","True","Valerie","Loren","female",1,889,"female",0.66,170
6496,"Nature reviews. Neuroscience",2016,"Cortical physiology: Waking up homeostasis.","Natasha","Bray","","","","Comment","[]","False","Natasha","","female",1,981,NA,NA,NA
6498,"Nature reviews. Neuroscience",2016,"Neurotrophic factor control of satiety and body weight.","Baoji","Xu","Xiangyang","Xie","Department of Neuroscience, The Scripps Research Institute Florida, 130 Scripps Way, Jupiter, Florida 33458, USA.","Journal Article","[]","True","Baoji","Xiangyang",NA,NA,NA,NA,NA,NA
4324,"Nature reviews. Neuroscience",2011,"Evolution: three major steps to a mammalian brain.","Monica Hoyos","Flight","","","","Comment","[]","False","Monica","","female",1,2787,NA,NA,NA
4326,"Nature reviews. Neuroscience",2011,"Autism: converging pathways.","Katherine","Whalley","","","","Comment","[]","False","Katherine","","female",1,1413,NA,NA,NA
20965,"Nature reviews. Neuroscience",2011,"Synaptic plasticity: finely tuning caspase function.","Darran","Yates","","","","Comment","[]","False","Darran","","male",1,13,NA,NA,NA
20966,"Nature reviews. Neuroscience",2011,"Emotion in the brain: of low roads, high roads and roads less travelled.","Beatrice","de Gelder","Marco","Tamietto","","Comment","['Jack']","False","Beatrice","Marco","female",1,281,"male",0.99,2493
20970,"Nature reviews. Neuroscience",2011,"Repertoire of microglial and macrophage responses after spinal cord injury.","Samuel","David","Antje","Kroner","The Research Institute of the McGill University Health Center, 1650 Cedar Avenue, Montreal, Quebec, Canada, H3G 1A4. sam.david@mcgill.ca","Journal Article","[]","True","Samuel","Antje","male",1,1409,"female",1,34
17031,"Nature reviews. Neuroscience",2017,"Genetic insights into the neurodevelopmental origins of schizophrenia.","Rebecca","Birnbaum","Daniel R","Weinberger","Department of Psychiatry, Icahn School of Medicine at Mount Sinai, New York, New York 10021, USA.","Journal Article","[]","True","Rebecca","Daniel","female",1,3182,"male",1,8180
21452,"Nature reviews. Neuroscience",2017,"Neuroimmunology: Mistaken identity.","Sian","Lewis","","","","Journal Article","[]","False","Sian","","female",0.99,226,NA,NA,NA
21453,"Nature reviews. Neuroscience",2017,"A new look at domain specificity: insights from social neuroscience.","Robert P","Spunt","Ralph","Adolphs","California Institute of Technology, 1200 E California Blvd, HSS 228-77, Pasadena, California 91125, USA.","Journal Article","[]","True","Robert","Ralph","male",1,5222,"male",1,314
21454,"Nature reviews. Neuroscience",2017,"Cancer: Appetite suppressors.","Darran","Yates","","","","Journal Article","[]","False","Darran","","male",1,13,NA,NA,NA
21455,"Nature reviews. Neuroscience",2017,"Psychiatric disorders: A sensitive window.","Natasha","Bray","","","","Journal Article","[]","False","Natasha","","female",1,981,NA,NA,NA
