"X","journal","year","title","fname_first","lname_first","fname_last","lname_last","affiliation","article_type","middle_authors","abstract","fname_first_trunc","fname_last_trunc","gender_first","p_first","n_first","gender_last","p_last","n_last"
20357,"Neuron",2014,"Comparison of human ventral frontal cortex areas for cognitive control and language with areas in monkey frontal cortex.","Franz-Xaver","Neubert","Matthew F S","Rushworth","Department of Experimental Psychology, University of Oxford, 9 South Parks Road, Oxford OX1 3UD, UK. Electronic address: franz-xaver.neubert@psy.ox.ac.uk.","Comparative Study","['Rogier B', 'Adam G', 'Jerome']","True","Franz-Xaver","Matthew",NA,NA,NA,"male",1,3338
21322,"Neuron",2014,"Membrane lipids tune synaptic transmission by direct modulation of presynaptic potassium channels.","Mario","Carta","Christophe","Mulle","University of Bordeaux, Interdisciplinary Institute for Neuroscience, CNRS UMR 5297, 33000 Bordeaux, France.","Journal Article","['Frederic', 'Nelson', 'Zsolt', 'Silvia Viana', 'Joana', 'Agathe', 'André', 'Carsten', 'Christophe']","True","Mario","Christophe","male",0.99,2026,"male",0.99,629
21323,"Neuron",2014,"Mapping sensory circuits by anterograde transsynaptic transfer of recombinant rabies virus.","Niccolò","Zampieri","Andrew J","Murray","Departments of Neuroscience and Biochemistry and Molecular Biophysics, Howard Hughes Medical Institute, Kavli Institute for Brain Science, Columbia University, New York, NY 10032 USA.","Journal Article","['Thomas M']","True","Niccolò","Andrew","male",1,3,"male",1,5168
17279,"Neuron",2016,"Local and Distant Input Controlling Excitation in Layer II of the Medial Entorhinal Cortex.","Elke C","Fuchs","Hannah","Monyer","Department of Clinical Neurobiology, Medical Faculty of Heidelberg University and German Cancer Research Center (DKFZ), Im Neuenheimer Feld 280, 69120 Heidelberg, Germany.","Journal Article","['Angela', 'Roberta', 'Sarah', 'Antonio']","True","Elke","Hannah","female",1,86,"female",1,1949
17280,"Neuron",2016,"Role of Tet1/3 Genes and Chromatin Remodeling Genes in Cerebellar Circuit Formation.","Xiaodong","Zhu","Mary E","Hatten","Laboratory of Developmental Neurobiology, The Rockefeller University, New York, NY 10065, USA.","Journal Article","['David', 'Eve-Ellen', 'Keisha', 'Marian', 'Pablo', 'Jill P']","True","Xiaodong","Mary","male",1,1,"female",1,4440
17281,"Neuron",2016,"A Neural Parametric Code for Storing Information of More than One Sensory Modality in Working Memory.","José","Vergara","Ranulfo","Romo","Instituto de Fisiología Celular-Neurociencias, Universidad Nacional Autónoma de México, 04510 México, D.F., Mexico.","Journal Article","['Natsuko', 'Román']","True","José","Ranulfo","male",0.98,1274,NA,NA,NA
17282,"Neuron",2016,"Relationships between Pupil Diameter and Neuronal Activity in the Locus Coeruleus, Colliculi, and Cingulate Cortex.","Siddhartha","Joshi","Joshua I","Gold","Department of Neuroscience, University of Pennsylvania, Philadelphia, PA 19104, USA. Electronic address: sidjoshi@mail.med.upenn.edu.","Journal Article","['Yin', 'Rishi M']","True","Siddhartha","Joshua","male",1,56,"male",0.99,1570
17284,"Neuron",2016,"Congenital Nystagmus Gene FRMD7 Is Necessary for Establishing a Neuronal Circuit Asymmetry for Direction Selectivity.","Keisuke","Yonehara","Botond","Roska","Neural Circuit Laboratories, Friedrich Miescher Institute for Biomedical Research, Maulbeerstrasse 66, 4058 Basel, Switzerland.","Journal Article","['Michele', 'Antonia', 'Federico', 'Stuart', 'Jacek', 'Felix', 'Brigitte Gross', 'Akos', 'Jan', 'Arnold', 'Josephine', 'Francisco', 'Ashrithpal Police', 'János', 'Zoltán Zsolt', 'Francis', 'Andreas']","True","Keisuke","Botond","male",1,15,"male",1,1
8619,"Neuron",2016,"Genetically Dissecting Cortical Neurons Involved in Epilepsy in Angelman Syndrome.","Emanuela","Santini","Eric","Klann","Center for Neural Science, New York University, New York, NY 10003, USA.","Journal Article","[]","True","Emanuela","Eric","female",0.99,170,"male",1,4110
8620,"Neuron",2016,"Diverse Ensembles of Inhibitory Interneurons.","Shane R","Crandall","Barry W","Connors","Department of Neuroscience, Division of Biology and Medicine, Brown University, Providence, RI 02912, USA. Electronic address: shane_crandall@brown.edu.","Comment","[]","True","Shane","Barry","male",0.91,963,"male",0.98,635
